ACCESSION_NUMBER,Business Plan,NAMEOFISSUER,CIK,FILE_NUMBER,amount,SUBMISSION_TYPE_x,FILING_DATE_x
0001670254-17-000045,https://www.sec.gov/Archives/edgar/data/352956/000167025417000045/document_5.pdf,"FAFCO, INC.",352956,020-23262,"247,313.00",C,20170331
0001670254-17-000084,https://www.sec.gov/Archives/edgar/data/352956/000167025417000084/document_6.pdf,"FAFCO, INC.",352956,020-23262,"247,313.00",C/A,20170501
0001670254-17-000186,https://www.sec.gov/Archives/edgar/data/352956/000167025417000186/document_10.pdf,"FAFCO, INC.",352956,020-23262,"247,313.00",C/A,20170703
0001670254-17-000226,https://www.sec.gov/Archives/edgar/data/352956/000167025417000226/document_11.pdf,"FAFCO, INC.",352956,020-23262,"247,313.00",C/A,20170807
0000352956-18-000001,https://www.sec.gov/Archives/edgar/data/352956/000035295618000001/2017sfafcof.pdf,FAFCO INC,352956,020-23262,"247,313.00",C-AR,20180803
0001665160-18-000211,https://www.sec.gov/Archives/edgar/data/1284608/000166516018000211/offeringmemoformc.pdf,"Life Recovery Systems HD, LLC",1284608,020-24093,"86,589.36",C,20180316
0001665160-18-000211,https://www.sec.gov/Archives/edgar/data/1284608/000166516018000211/offeringmemoformc.pdf,"Life Recovery Systems HD, LLC",1284608,020-24093,"86,589.36",C,20180316
0001665160-18-000211,https://www.sec.gov/Archives/edgar/data/1284608/000166516018000211/offeringmemoformc.pdf,"Life Recovery Systems HD, LLC",1284608,020-24093,"86,589.36",C,20180316
0001665160-18-000241,https://www.sec.gov/Archives/edgar/data/1284608/000166516018000241/lrs_offering_new.pdf,LIFE RECOVERY SYSTEMS HD LLC,1284608,020-24093,"86,589.36",C/A,20180326
0001665160-18-000241,https://www.sec.gov/Archives/edgar/data/1284608/000166516018000241/lrs_offering_new.pdf,LIFE RECOVERY SYSTEMS HD LLC,1284608,020-24093,"86,589.36",C/A,20180326
0001665160-18-000241,https://www.sec.gov/Archives/edgar/data/1284608/000166516018000241/lrs_offering_new.pdf,LIFE RECOVERY SYSTEMS HD LLC,1284608,020-24093,"86,589.36",C/A,20180326
0001665160-18-000416,https://www.sec.gov/Archives/edgar/data/1284608/000166516018000416/lrs_offering_vid.pdf,LIFE RECOVERY SYSTEMS HD LLC,1284608,020-24093,"86,589.36",C/A,20180504
0001665160-18-000416,https://www.sec.gov/Archives/edgar/data/1284608/000166516018000416/lrs_offering_vid.pdf,LIFE RECOVERY SYSTEMS HD LLC,1284608,020-24093,"86,589.36",C/A,20180504
0001665160-18-000416,https://www.sec.gov/Archives/edgar/data/1284608/000166516018000416/lrs_offering_vid.pdf,LIFE RECOVERY SYSTEMS HD LLC,1284608,020-24093,"86,589.36",C/A,20180504
0001665160-18-000631,https://www.sec.gov/Archives/edgar/data/1284608/000166516018000631/lrs_offering_amending.pdf,LIFE RECOVERY SYSTEMS HD LLC,1284608,020-24093,"86,589.36",C/A,20180628
0001665160-18-000631,https://www.sec.gov/Archives/edgar/data/1284608/000166516018000631/lrs_offering_amending.pdf,LIFE RECOVERY SYSTEMS HD LLC,1284608,020-24093,"86,589.36",C/A,20180628
0001665160-18-000631,https://www.sec.gov/Archives/edgar/data/1284608/000166516018000631/lrs_offering_amending.pdf,LIFE RECOVERY SYSTEMS HD LLC,1284608,020-24093,"86,589.36",C/A,20180628
0001665160-19-000543,https://www.sec.gov/Archives/edgar/data/1284608/000166516019000543/form_car.pdf,"Life Recovery Systems HD, LLC",1284608,020-24093,"86,589.36",C-AR,20190430
0001665160-19-000543,https://www.sec.gov/Archives/edgar/data/1284608/000166516019000543/form_car.pdf,"Life Recovery Systems HD, LLC",1284608,020-24093,"86,589.36",C-AR,20190430
0001665160-19-000543,https://www.sec.gov/Archives/edgar/data/1284608/000166516019000543/form_car.pdf,"Life Recovery Systems HD, LLC",1284608,020-24093,"86,589.36",C-AR,20190430
0001665160-18-000147,https://www.sec.gov/Archives/edgar/data/1317687/000166516018000147/offeringmemoformc.pdf,"LiteScape Technologies, Inc.",1317687,020-24041,"23,050.00",C,20180305
0001665160-18-000342,https://www.sec.gov/Archives/edgar/data/1317687/000166516018000342/litescape_offering_v2.pdf,Litescape Technologies Inc,1317687,020-24041,"23,050.00",C/A,20180424
0001665160-19-000455,https://www.sec.gov/Archives/edgar/data/1317687/000166516019000455/form_car.pdf,"LiteScape Technologies, Inc.",1317687,020-24041,"23,050.00",C-AR,20190429
0001665160-18-001329,https://www.sec.gov/Archives/edgar/data/1321565/000166516018001329/offeringmemoformc.pdf,"Cookie Club of America, Inc.",1321565,020-24992,"10,654",C,20181210
0001665160-18-000307,https://www.sec.gov/Archives/edgar/data/1374584/000166516018000307/offeringmemoformc.pdf,"Geopulse Explorations, Inc.",1374584,020-24185,"726,633.52",C,20180420
0001665160-18-000653,https://www.sec.gov/Archives/edgar/data/1374584/000166516018000653/cannco_idisclosed_amend.pdf,Geopulse Exploration Inc.,1374584,020-24185,"726,633.52",C/A,20180703
0001665160-20-000796,https://www.sec.gov/Archives/edgar/data/1374584/000166516020000796/form_car.pdf,Geopulse Exploration Inc.,1374584,020-24185,"726,633.52",C-AR,20200612
0001669191-19-000402,https://www.sec.gov/Archives/edgar/data/1398488/000166919119000402/otherfinancial.pdf,"StemSation International, Inc",1398488,020-25838,"43,348",C,20191112
0001669191-20-000002,https://www.sec.gov/Archives/edgar/data/1398488/000166919120000002/otherfinancial.pdf,"StemSation International, Inc",1398488,020-25838,"43,348",C/A,20200107
0001669191-20-000022,https://www.sec.gov/Archives/edgar/data/1398488/000166919120000022/otherfinancial.pdf,"StemSation International, Inc",1398488,020-25838,"43,348",C/A,20200128
0001669191-20-000063,https://www.sec.gov/Archives/edgar/data/1398488/000166919120000063/otherfinancial.pdf,"StemSation International, Inc",1398488,020-25838,"43,348",C/A,20200220
0001669191-20-000092,https://www.sec.gov/Archives/edgar/data/1398488/000166919120000092/otherfinancial.pdf,"StemSation International, Inc",1398488,020-25838,"43,348",C/A,20200302
0001421744-19-000001,https://www.sec.gov/Archives/edgar/data/1421744/000142174419000001/formcfiling2.pdf,Cytonics Corp,1421744,020-25262,"313,400",C,20190322
0001421744-20-000003,https://www.sec.gov/Archives/edgar/data/1421744/000142174420000003/FormC_TextRec.pdf,Cytonics Corp,1421744,020-25262,"313,400",C-AR,20200401
0001670254-16-000158,https://www.sec.gov/Archives/edgar/data/1446275/000167025416000158/document_11.pdf,"LiquidPiston, Inc.",1446275,020-23032,"999,999.00",C,20161018
0001670254-17-000047,https://www.sec.gov/Archives/edgar/data/1446275/000167025417000047/document_11.pdf,"LiquidPiston, Inc.",1446275,020-23032,"999,999.00",C/A,20170331
0001670254-18-000202,https://www.sec.gov/Archives/edgar/data/1446275/000167025418000202/document_11.pdf,"LiquidPiston, Inc.",1446275,020-23032,"999,999.00",C-AR,20180501
